fotograma,tipo_objeto,confianza_objeto,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,bus,0.936,1,1402,52,1918,476,0,0.0,-1,-1,-1,-1,
1,car,0.844,2,1321,312,1398,371,0,0.0,-1,-1,-1,-1,
1,car,0.491,3,1231,313,1279,343,0,0.0,-1,-1,-1,-1,
1,car,0.349,4,1281,318,1320,343,0,0.0,-1,-1,-1,-1,
1,car,0.297,5,1274,315,1312,343,0,0.0,-1,-1,-1,-1,
2,bus,0.933,1,1402,56,1918,471,0,0.0,-1,-1,-1,-1,
2,car,0.815,2,1321,312,1397,371,0,0.0,-1,-1,-1,-1,
2,car,0.478,3,1231,313,1279,342,0,0.0,-1,-1,-1,-1,
2,car,0.327,4,1282,318,1320,343,0,0.0,-1,-1,-1,-1,
2,car,0.285,5,1273,315,1309,343,0,0.0,-1,-1,-1,-1,
3,bus,0.936,1,1395,63,1918,467,1,0.369,1868,408,1914,424,
3,car,0.819,2,1320,312,1395,371,0,0.0,-1,-1,-1,-1,
3,car,0.444,3,1230,313,1278,342,0,0.0,-1,-1,-1,-1,
3,car,0.315,4,1281,318,1320,343,0,0.0,-1,-1,-1,-1,
3,car,0.273,5,1273,315,1311,342,0,0.0,-1,-1,-1,-1,
4,bus,0.9,1,1389,67,1918,466,0,0.0,-1,-1,-1,-1,
4,car,0.838,2,1318,312,1395,371,0,0.0,-1,-1,-1,-1,
4,car,0.486,3,1230,314,1278,342,0,0.0,-1,-1,-1,-1,
4,car,0.288,4,1281,317,1319,343,0,0.0,-1,-1,-1,-1,
4,car,0.277,5,1273,315,1311,343,0,0.0,-1,-1,-1,-1,
5,bus,0.93,1,1390,72,1918,464,1,0.488,1838,406,1901,420,
5,car,0.817,2,1317,312,1394,371,0,0.0,-1,-1,-1,-1,
5,car,0.452,3,1232,314,1279,343,0,0.0,-1,-1,-1,-1,
5,car,0.271,4,1282,317,1319,343,0,0.0,-1,-1,-1,-1,
5,car,0.248,5,1274,315,1308,343,0,0.0,-1,-1,-1,-1,
6,bus,0.935,1,1392,76,1918,462,1,0.322,1823,405,1887,421,
6,car,0.807,2,1316,312,1392,370,0,0.0,-1,-1,-1,-1,
6,car,0.408,3,1232,313,1278,342,0,0.0,-1,-1,-1,-1,
6,car,0.246,4,1283,317,1319,343,0,0.0,-1,-1,-1,-1,
6,car,0.231,5,1274,315,1306,343,0,0.0,-1,-1,-1,-1,
7,bus,0.935,1,1391,79,1918,461,1,0.356,1809,403,1872,420,
7,car,0.796,2,1316,312,1390,370,0,0.0,-1,-1,-1,-1,
7,car,0.452,3,1232,314,1277,343,0,0.0,-1,-1,-1,-1,
7,car,0.248,4,1284,317,1320,343,0,0.0,-1,-1,-1,-1,
7,car,0.24,5,1273,315,1305,343,0,0.0,-1,-1,-1,-1,
8,bus,0.935,1,1388,84,1918,458,1,0.388,1795,401,1855,418,
8,car,0.787,2,1314,312,1389,369,0,0.0,-1,-1,-1,-1,
8,car,0.436,3,1230,314,1275,343,0,0.0,-1,-1,-1,-1,
8,car,0.24,4,1284,317,1319,343,0,0.0,-1,-1,-1,-1,
8,car,0.234,5,1272,315,1308,343,0,0.0,-1,-1,-1,-1,
9,bus,0.937,1,1386,88,1918,457,1,0.443,1783,400,1841,415,
9,car,0.781,2,1313,312,1387,368,0,0.0,-1,-1,-1,-1,
9,car,0.425,3,1229,315,1274,343,0,0.0,-1,-1,-1,-1,
9,car,0.232,4,1284,318,1319,343,0,0.0,-1,-1,-1,-1,
9,car,0.228,5,1272,316,1310,343,0,0.0,-1,-1,-1,-1,
