epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.8712,1.59853,2.99633,1.2908,0.41578,0.23656,0.21611,0.08034,1.43484,2.73726,1.16164,0.000657895,0.000657895,0.000657895
2,18.2138,1.62369,1.91044,1.33831,0.54489,0.5914,0.54761,0.26148,1.61158,1.98543,1.54126,0.00129178,0.00129178,0.00129178
3,26.0757,1.62354,1.82743,1.31893,0.50639,0.5914,0.56877,0.2909,1.67036,2.14268,1.49076,0.00189266,0.00189266,0.00189266
4,33.8836,1.65468,1.69094,1.2942,0.70608,0.69892,0.73377,0.37288,1.63419,1.71519,1.41333,0.0018515,0.0018515,0.0018515
5,41.8539,1.61986,1.65685,1.31309,0.5209,0.55914,0.48909,0.23868,1.62643,2.93319,1.42439,0.001802,0.001802,0.001802
6,49.6932,1.60802,1.49863,1.33055,0.81601,0.64516,0.75164,0.41565,1.57028,1.5666,1.41623,0.0017525,0.0017525,0.0017525
7,57.7469,1.63934,1.47093,1.31454,0.83254,0.695,0.78631,0.44131,1.42955,1.47354,1.29935,0.001703,0.001703,0.001703
8,65.562,1.51163,1.40538,1.30351,0.34928,0.64516,0.30605,0.16398,1.49449,2.78197,1.35721,0.0016535,0.0016535,0.0016535
9,73.5626,1.49779,1.28614,1.25825,0.73033,0.69889,0.73866,0.36235,1.56256,1.46273,1.35075,0.001604,0.001604,0.001604
10,81.5271,1.50347,1.2923,1.27343,0.85324,0.75022,0.82857,0.44486,1.58045,1.15501,1.33201,0.0015545,0.0015545,0.0015545
11,89.5099,1.51762,1.20765,1.26982,0.81693,0.74194,0.81251,0.44337,1.43347,1.30048,1.30898,0.001505,0.001505,0.001505
12,98.0257,1.52206,1.19094,1.30578,0.9565,0.70928,0.85719,0.42567,1.58497,1.11119,1.3601,0.0014555,0.0014555,0.0014555
13,108.114,1.50712,1.16344,1.27384,0.82539,0.76244,0.81592,0.43305,1.56334,1.27317,1.3985,0.001406,0.001406,0.001406
14,119.63,1.52792,1.16545,1.27194,0.9344,0.78495,0.87454,0.49087,1.49841,1.13483,1.31803,0.0013565,0.0013565,0.0013565
15,130.131,1.51403,1.10038,1.24443,0.95237,0.77419,0.88507,0.45176,1.51231,1.02254,1.34893,0.001307,0.001307,0.001307
16,139.206,1.36813,1.01944,1.18534,0.91614,0.82227,0.88457,0.50576,1.41874,1.0006,1.25357,0.0012575,0.0012575,0.0012575
17,146.818,1.47428,1.03538,1.28117,0.93823,0.81664,0.88407,0.48805,1.49897,1.00305,1.33174,0.001208,0.001208,0.001208
18,154.284,1.50128,1.04709,1.2713,0.93644,0.79217,0.91161,0.48559,1.50673,1.00716,1.3668,0.0011585,0.0011585,0.0011585
19,161.854,1.39601,0.9599,1.21319,0.884,0.8172,0.907,0.4959,1.43713,0.9307,1.28247,0.001109,0.001109,0.001109
20,169.426,1.41492,1.01562,1.22255,0.86863,0.84946,0.8984,0.52098,1.38983,0.91596,1.27991,0.0010595,0.0010595,0.0010595
21,177.28,1.37717,0.96235,1.23065,0.92331,0.74194,0.90379,0.5189,1.35335,0.8954,1.27712,0.00101,0.00101,0.00101
22,185.116,1.31371,0.92826,1.17172,0.86978,0.84946,0.91122,0.53727,1.34231,0.8706,1.24377,0.0009605,0.0009605,0.0009605
23,192.868,1.32849,0.90753,1.15859,0.89191,0.88729,0.91421,0.55672,1.30828,0.82796,1.20954,0.000911,0.000911,0.000911
24,200.769,1.38112,0.92201,1.20536,0.81567,0.84946,0.88639,0.50056,1.3794,0.91708,1.23298,0.0008615,0.0008615,0.0008615
25,208.396,1.33329,0.88265,1.17217,0.87457,0.88172,0.90897,0.54714,1.33943,0.81817,1.24555,0.000812,0.000812,0.000812
26,216.108,1.34367,0.89607,1.17549,0.96273,0.83324,0.9222,0.52482,1.35171,0.84752,1.22765,0.0007625,0.0007625,0.0007625
27,224.102,1.28147,0.87138,1.16981,0.90554,0.86022,0.92187,0.52743,1.35265,0.83468,1.24446,0.000713,0.000713,0.000713
28,232.108,1.28637,0.82305,1.15426,0.8377,0.87097,0.88923,0.50471,1.39936,0.8368,1.2429,0.0006635,0.0006635,0.0006635
29,239.79,1.28158,0.84712,1.18288,0.9453,0.82796,0.90434,0.54175,1.32227,0.82547,1.23479,0.000614,0.000614,0.000614
30,247.723,1.23059,0.84556,1.15782,0.92321,0.84946,0.91366,0.53634,1.31106,0.8217,1.25165,0.0005645,0.0005645,0.0005645
31,271.935,1.26347,0.81894,1.17646,0.91797,0.84228,0.90542,0.51372,1.3568,0.83088,1.23961,0.000515,0.000515,0.000515
